Tahun,FT_KabPacitan,FT_KabPonorogo,FT_Trenggalek,FT_Tulungagung,FT_Blitar,FT_Kediri,FT_Malang,FT_Lumajang,FT_Jember,FT_Banyuwangi,FT_Bondowoso,FT_Situbondo,FT_Probolinggo,FT_Pasuruan,FT_Sidoarjo,FT_Mojokerto,FT_Jombang,FT_Nganjuk,FT_Madiun,FT_Magetan,FT_Ngawi,FT_Bojonegoro,FT_Tuban,FT_Lamongan,FT_Gresik,FT_Bangkalan,FT_Sampang,FT_Pamekasan,FT_Sumenep,FT_KediriKota,FT_BlitarKota,FT_MalangKota,FT_ProbolinggoKota,FT_PasuruanKota,FT_MojokertoKota,FT_MadiunKota,FT_Surabaya,FT_Batu
2016,89641.20833333333,88291.02083333333,31367.125,97986.3125,133745.04166666666,216839.125,222078.22916666666,182396.3125,235512.75,97017.0625,215797.27083333334,166209.64583333334,272061.7916666667,99088.45833333333,9173.1875,51556.145833333336,66136.1875,109192.20833333333,59271.270833333336,113902.4375,92644.22916666667,176206.47916666666,356067.6458333333,108732.08333333333,44884.3125,205125.79166666666,214539.58333333334,165631.91666666666,362602.4791666667,3230.8333333333335,2538.4375,4380.875,8769.875,57.791666666666686,72.41666666666667,108.875,-6.291666666666657,2217.875
2017,80008.625,83209.95833333333,26982.895833333332,90596.08333333333,107603.64583333333,167064.25,203612.4375,171656.72916666666,188602.10416666666,81056.79166666667,210594.89583333334,149749.875,240496.10416666666,96759.9375,9367.625,31955.625,47797.79166666667,113522.14583333333,52750.104166666664,106659.64583333333,73700.66666666667,178463.125,338721.1666666667,97503.375,44899.520833333336,195953.16666666666,213126.20833333334,184911.8125,352676.5416666667,2231.041666666667,2511.125,3746.2916666666665,8497.125,106.66666666666667,11.583333333333336,196.41666666666669,-161.375,2220.0208333333335
2018,84886.75,80420.77083333333,31550.979166666668,108010.4375,128588.75,197981.60416666666,226875.91666666666,195011.08333333334,227483.875,107066.79166666667,223256.58333333334,165220.375,255670.0625,110240.9375,10807.416666666666,36582.104166666664,56798.104166666664,129394.5,60969.0,116424.29166666667,70542.22916666667,212632.66666666666,337074.0416666667,103323.0625,52900.5,204984.16666666666,226251.77083333334,198762.75,359074.125,3335.8125,2997.2083333333335,3478.0625,9598.75,294.3333333333333,62.97916666666667,278.3125,-41.95833333333333,2588.1666666666665
2019,88930.77083333333,81008.85416666667,35580.75,123469.91666666667,149992.35416666666,229424.79166666666,245149.89583333334,214402.83333333334,255024.0625,119491.27083333333,230138.60416666666,174859.97916666666,277018.375,117950.29166666667,12261.6875,48941.291666666664,64789.3125,138821.91666666666,63838.0,122350.70833333333,76259.27083333333,239880.14583333334,345767.0,110351.04166666667,58352.145833333336,222940.5,226129.20833333334,210208.91666666666,368464.4791666667,4210.0625,3287.0208333333335,2735.5625,10489.854166666666,429.4166666666667,86.0,287.0416666666667,108.60416666666667,2626.2916666666665
2020,92583.89583333333,82344.5,38246.041666666664,134903.02083333334,158957.33333333334,246125.89583333334,252845.14583333334,225109.91666666666,270918.3958333333,129248.85416666667,234686.625,180072.02083333334,285525.9791666667,121277.79166666667,14140.958333333334,52913.604166666664,64238.895833333336,142133.02083333334,65577.9375,127213.9375,80049.5625,258009.16666666666,350520.25,115215.75,61032.770833333336,242171.9375,222262.27083333334,218343.33333333334,376214.6458333333,4254.291666666667,3548.25,2288.1666666666665,11139.520833333334,481.3125,101.52083333333333,259.1458333333333,48.395833333333336,2593.1041666666665
2021,93778.10416666667,84182.5625,39079.125,142080.375,159785.27083333334,246242.39583333334,252285.41666666666,229621.39583333334,274029.0208333333,131298.04166666666,238391.04166666666,179179.0625,305882.5416666667,122277.66666666667,15834.729166666666,52318.416666666664,61656.666666666664,142591.54166666666,65786.9375,126128.35416666667,82855.39583333333,267079.2708333333,354655.0208333333,117507.70833333333,61473.145833333336,265270.3333333333,219061.39583333334,207487.22916666666,381689.5208333333,4134.1875,3833.7291666666665,1979.2083333333335,11420.958333333334,492.4791666666667,79.77083333333333,221.0,-22.5,2497.1041666666665
2022,96845.52083333333,86098.10416666667,40149.125,151256.10416666666,158356.3125,243228.89583333334,250904.5,232596.91666666666,279382.0,137268.16666666666,242851.52083333334,183371.29166666666,324901.7708333333,121528.85416666667,16280.4375,49714.041666666664,67025.97916666667,144089.16666666666,66939.29166666667,122812.8125,86291.125,273163.8333333333,359486.9791666667,120033.22916666667,61738.166666666664,289895.75,218156.97916666666,199667.9375,388036.4791666667,3899.1458333333335,4035.2083333333335,1817.375,11566.604166666666,476.0625,73.83333333333333,188.47916666666666,11.0,2476.0416666666665
