Tahun,KabPacitan,KabPonorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,KediriKota,BlitarKota,MalangKota,Probolinggokota,PasuruanKota,MojokertoKota,MadiunKota,Surabaya,Batu,5_MA_singlepacitan,5_MA_singleponorogo,5_MA_singletrenggalek,5_MA_singletulungagung,5_MA_singleblitar,5_MA_singlekediri,5_MA_singlemalang,5_MA_singlelumajang,5_MA_singlejember,5_MA_singlebanyuwangi,5_MA_singlebondowoso,5_MA_singlesitubondo,5_MA_singleprobolinggo,5_MA_singlepasuruan,5_MA_singlesidoarjo,5_MA_singlemojokerto,5_MA_singlejombang,5_MA_singlenganjuk,5_MA_singlemadiun,5_MA_singlemagetan,5_MA_singlengawi,5_MA_singlebojonegoro,5_MA_singletuban,5_MA_singlelamongan,5_MA_singlegresik,5_MA_singlebangkalan,5_MA_singlesampang,5_MA_singlepamekasan,5_MA_singlesumenep,5_MA_singlekediriKota,5_MA_singleblitarKota,5_MA_singlemalangKota,5_MA_singleprobolinggoKota,5_MA_singlepasuruanKota,5_MA_singlemojokertoKota,5_MA_singlemadiunKota,5_MA_singlesurabaya,5_MA_singlebatu,5_MA_doubleKabPacitan,5_MA_doubleKabPonorogo,5_MA_doubleTrenggalek,5_MA_doubleTulungagung,5_MA_doubleBlitar,5_MA_doubleKediri,5_MA_doubleMalang,5_MA_doubleLumajang,5_MA_doubleJember,5_MA_doubleBanyuwangi,5_MA_doubleBondowoso,5_MA_doubleSitubondo,5_MA_doubleProbolinggo,5_MA_doublePasuruan,5_MA_doubleSidoarjo,5_MA_doubleMojokerto,5_MA_doubleJombang,5_MA_doubleNganjuk,5_MA_doubleMadiun,5_MA_doubleMagetan,5_MA_doubleNgawi,5_MA_doubleBojonegoro,5_MA_doubleTuban,5_MA_doubleLamongan,5_MA_doubleGresik,5_MA_doubleBangkalan,5_MA_doubleSampang,5_MA_doublePamekasan,5_MA_doubleSumenep,5_MA_doubleKediriKota,5_MA_doubleBlitarKota,5_MA_doubleMalangKota,5_MA_doubleProbolinggoKota,5_MA_doublePasuruanKota,5_MA_doubleMojokertoKota,5_MA_doubleMadiunKota,5_MA_doubleSurabaya,5_MA_doubleBatu
2009,57783,61101,29806,95218,139542,114751,142344,145947,225417,133045,164316,166998,158929,102527,11338,65969,86260,225417,42256,76722,61757,167624,191122,69968,57181,155454,123597,123597,296978,4404,3439,2745,8869,898,299,848,411,3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,61612,63995,30980,99836,144790,123954,147865,157527,237675,142417,172877,179788,177170,107869,11572,69511,91493,195997,44568,81036,66278,182937,202835,75575,60747,164201,176076,130576,316571,4487,3850,2786,9798,894,310,948,365,3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,86138,89148,42560,129678,189378,268139,225895,200577,324230,143852,203735,204925,287480,110700,8768,90996,103014,176612,62375,107263,101047,190879,312013,109972,53020,193576,196414,127674,357038,6236,3409,4430,10071,820,384,379,1126,3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,94735,84315,43411,129549,200008,287943,240746,210039,350170,163850,212621,214900,296867,114579,10078,99965,115852,166215,68831,114630,110850,201992,314810,116963,58268,205157,196807,142445,360862,6251,3549,4433,10473,596,355,385,740,3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,76546,84751,29906,91789,132934,181727,189145,164892,217763,91384,188740,159308,239564,92174,9458,65843,68926,134255,46500,96185,90692,160037,311359,96714,44270,186027,180849,149855,345095,3510,2689,4241,8519,334,162,299,218,2437,75362.8,76662.0,35332.6,109214.0,161330.4,195302.8,189199.0,175796.4,271051.0,134909.6,188457.8,185183.8,232002.0,105569.8,10242.8,78456.8,93109.0,179699.2,52906.0,95167.2,86124.8,180693.8,266427.8,93838.4,54697.2,180883.0,174748.6,134829.4,335308.8,4977.6,3387.2,3727.0,9546.0,708.4,302.0,571.8,572.0,3254.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,81954,84514,31431,98987,135592,192631,199453,172920,236198,108139,205321,169978,244718,100841,9356,50801,69821,134566,56838,106913,81373,172673,314937,99013,47254,191245,203863,152045,349081,3600,2797,4039,8863,305,154,303,116,2700,80197.0,81344.6,35657.6,109967.8,160540.4,210878.8,200620.8,181191.0,273207.2,129928.4,196658.8,185779.8,249159.8,105232.6,9846.4,75423.2,89821.2,161529.0,55822.4,101205.4,90048.0,181703.6,291190.8,99647.4,52711.8,188041.2,190801.8,140519.0,345729.4,4816.8,3258.8,3985.8,9544.8,589.8,273.0,462.8,513.0,3081.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,83659,81807,32668,104824,139372,202263,212821,182993,243390,111304,210650,172528,256249,105469,9507,52891,72887,138522,58174,107683,84149,186861,324295,101790,50064,197675,211176,155086,353124,3764,2920,3858,9217,332,127,306,265,2655,84606.4,84907.0,35995.2,110965.4,159456.8,226540.6,213612.0,186284.2,274350.2,123705.8,204213.4,184327.8,264975.6,104752.6,9433.4,72099.2,86100.0,150034.0,58543.6,106534.8,93622.2,182488.4,315482.8,104890.4,50575.2,194736.0,197821.8,145421.0,353040.0,4672.2,3072.8,4200.2,9428.6,477.4,236.4,334.4,493.0,2875.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,84393,82102,33887,111016,141347,212376,223717,194049,250112,115386,215184,176398,262408,106252,9802,54575,70448,138601,59518,110228,82197,201954,329272,104779,52858,200279,212776,190635,357422,3686,3076,3708,9592,379,145,306,223,2721,84257.4,83497.8,34260.6,107233.0,149850.6,215388.0,213176.4,184978.6,259526.6,118012.6,206503.2,178622.4,259961.2,103863.0,9640.2,64815.0,79586.8,142431.8,57972.2,107127.8,89852.2,184703.4,318934.6,103851.8,50542.8,196076.6,201094.2,158013.2,353116.8,4162.2,3006.2,4055.8,9332.8,389.2,188.6,319.8,312.4,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,86611,81823,34515,114556,148414,223216,234481,203044,253113,116274,219013,171865,266884,112328,11693,55141,66926,138929,60881,117599,79437,218131,334143,107629,54446,206946,215020,192455,361127,4377,3180,3756,9983,428,138,297,129,2685,82632.6,82999.4,32481.4,104234.4,139531.8,202442.6,211923.4,183579.6,240115.2,108497.4,207781.6,170015.4,253964.6,103412.8,9963.2,55850.2,69801.6,136974.6,56382.2,107721.6,83569.6,187931.2,322801.2,101985.0,49778.4,196434.4,204736.8,168015.2,353169.8,3787.4,2932.4,3920.4,9234.8,355.6,145.2,302.2,190.2,2639.6,81411.24,81882.16,34745.479999999996,108322.92,154142.0,210110.56,205706.32,182365.96000000002,263650.04,123010.76000000001,200722.96000000002,180785.84,252012.63999999998,104566.16,9825.2,69328.88,83683.72,154133.72,56325.280000000006,103551.36,88643.36,183504.08000000002,302967.44,100842.6,51661.08,191234.24,193840.63999999998,149359.56,348072.96,4483.24,3131.48,3977.84,9417.4,504.08000000000004,229.04000000000002,398.2,416.12,2920.2
2018,88633,83248,35853,122652,156386,230020,234761,208242,258205,119834,224917,176311,275565,115768,12441,55329,69670,140024,62099,120677,81017,231120,339563,109757,57281,226897,215664,194283,367382,4382,3225,2389,10397,432,104,290,112,2590,85050.0,82698.8,33670.8,110407.0,144222.2,212101.2,221046.6,192249.6,248203.6,114187.4,215017.0,173416.0,261164.8,108131.6,10559.8,53747.4,69950.4,138128.4,59502.0,112620.0,81634.6,202147.8,328442.0,104593.6,52380.6,204608.4,211699.8,176900.8,357627.2,3961.8,3039.6,3550.0,9610.4,375.2,133.6,300.4,169.0,2670.2,83348.68000000001,83089.51999999999,34413.119999999995,108561.51999999999,150720.36,213470.24,212075.84,185656.6,259080.56,118866.31999999999,206034.8,178432.27999999997,257845.2,105078.52000000002,9888.6,64387.0,79052.0,145819.56,57644.48,107041.92,87745.32,187794.88,315370.27999999997,102993.63999999998,51197.76,195979.32,201230.88,157773.84,352536.64,4280.08,3061.96,3942.44,9430.279999999999,437.43999999999994,195.35999999999999,343.91999999999996,335.52,2803.3199999999997
