KabPacitan,KabPonorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,KediriKota,BlitarKota,MalangKota,Probolinggokota,PasuruanKota,MojokertoKota,MadiunKota,Surabaya,Batu,3_MA_singlepacitan,3_MA_singleponorogo,3_MA_singletrenggalek,3_MA_singletulungagung,3_MA_singleblitar,3_MA_singlekediri,3_MA_singlemalang,3_MA_singlelumajang,3_MA_singlejember,3_MA_singlebanyuwangi,3_MA_singlebondowoso,3_MA_singlesitubondo,3_MA_singleprobolinggo,3_MA_singlepasuruan,3_MA_singlesidoarjo,3_MA_singlemojokerto,3_MA_singlejombang,3_MA_singlenganjuk,3_MA_singlemadiun,3_MA_singlemagetan,3_MA_singlengawi,3_MA_singlebojonegoro,3_MA_singletuban,3_MA_singlelamongan,3_MA_singlegresik,3_MA_singlebangkalan,3_MA_singlesampang,3_MA_singlepamekasan,3_MA_singlesumenep,3_MA_singlekediriKota,3_MA_singleblitarKota,3_MA_singlemalangKota,3_MA_singleprobolinggoKota,3_MA_singlepasuruanKota,3_MA_singlemojokertoKota,3_MA_singlemadiunKota,3_MA_singlesurabaya,3_MA_singlebatu,3_MA_doubleKabPacitan,3_MA_doubleKabPonorogo,3_MA_doubleTrenggalek,3_MA_doubleTulungagung,3_MA_doubleBlitar,3_MA_doubleKediri,3_MA_doubleMalang,3_MA_doubleLumajang,3_MA_doubleJember,3_MA_doubleBanyuwangi,3_MA_doubleBondowoso,3_MA_doubleSitubondo,3_MA_doubleProbolinggo,3_MA_doublePasuruan,3_MA_doubleSidoarjo,3_MA_doubleMojokerto,3_MA_doubleJombang,3_MA_doubleNganjuk,3_MA_doubleMadiun,3_MA_doubleMagetan,3_MA_doubleNgawi,3_MA_doubleBojonegoro,3_MA_doubleTuban,3_MA_doubleLamongan,3_MA_doubleGresik,3_MA_doubleBangkalan,3_MA_doubleSampang,3_MA_doublePamekasan,3_MA_doubleSumenep,3_MA_doubleKediriKota,3_MA_doubleBlitarKota,3_MA_doubleMalangKota,3_MA_doubleProbolinggoKota,3_MA_doublePasuruanKota,3_MA_doubleMojokertoKota,3_MA_doubleMadiunKota,3_MA_doubleSurabaya,3_MA_doubleBatu
57783.0,61101.0,29806.0,95218.0,139542.0,114751.0,142344.0,145947.0,225417.0,133045.0,164316.0,166998.0,158929.0,102527.0,11338.0,65969.0,86260.0,225417.0,42256.0,76722.0,61757.0,167624.0,191122.0,69968.0,57181.0,155454.0,123597.0,123597.0,296978.0,4404.0,3439.0,2745.0,8869.0,898.0,299.0,848.0,411.0,3565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61612.0,63995.0,30980.0,99836.0,144790.0,123954.0,147865.0,157527.0,237675.0,142417.0,172877.0,179788.0,177170.0,107869.0,11572.0,69511.0,91493.0,195997.0,44568.0,81036.0,66278.0,182937.0,202835.0,75575.0,60747.0,164201.0,176076.0,130576.0,316571.0,4487.0,3850.0,2786.0,9798.0,894.0,310.0,948.0,365.0,3687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86138.0,89148.0,42560.0,129678.0,189378.0,268139.0,225895.0,200577.0,324230.0,143852.0,203735.0,204925.0,287480.0,110700.0,8768.0,90996.0,103014.0,176612.0,62375.0,107263.0,101047.0,190879.0,312013.0,109972.0,53020.0,193576.0,196414.0,127674.0,357038.0,6236.0,3409.0,4430.0,10071.0,820.0,384.0,379.0,1126.0,3347.0,68511.0,71414.66666666667,34448.666666666664,108244.0,157903.33333333334,168948.0,172034.66666666666,168017.0,262440.6666666667,139771.33333333334,180309.33333333334,183903.66666666666,207859.66666666666,107032.0,10559.333333333334,75492.0,93589.0,199342.0,49733.0,88340.33333333333,76360.66666666667,180480.0,235323.33333333334,85171.66666666667,56982.666666666664,171077.0,165362.33333333334,127282.33333333333,323529.0,5042.333333333333,3566.0,3320.3333333333335,9579.333333333334,870.6666666666666,331.0,725.0,634.0,3533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94735.0,84315.0,43411.0,129549.0,200008.0,287943.0,240746.0,210039.0,350170.0,163850.0,212621.0,214900.0,296867.0,114579.0,10078.0,99965.0,115852.0,166215.0,68831.0,114630.0,110850.0,201992.0,314810.0,116963.0,58268.0,205157.0,196807.0,142445.0,360862.0,6251.0,3549.0,4433.0,10473.0,596.0,355.0,385.0,740.0,3237.0,80828.33333333333,79152.66666666667,38983.666666666664,119687.66666666667,178058.66666666666,226678.66666666666,204835.33333333334,189381.0,304025.0,150039.66666666666,196411.0,199871.0,253839.0,111049.33333333333,10139.333333333334,86824.0,103453.0,179608.0,58591.333333333336,100976.33333333333,92725.0,191936.0,276552.6666666667,100836.66666666667,57345.0,187644.66666666666,189765.66666666666,133565.0,344823.6666666667,5658.0,3602.6666666666665,3883.0,10114.0,770.0,349.6666666666667,570.6666666666666,743.6666666666666,3423.6666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76546.0,84751.0,29906.0,91789.0,132934.0,181727.0,189145.0,164892.0,217763.0,91384.0,188740.0,159308.0,239564.0,92174.0,9458.0,65843.0,68926.0,134255.0,46500.0,96185.0,90692.0,160037.0,311359.0,96714.0,44270.0,186027.0,180849.0,149855.0,345095.0,3510.0,2689.0,4241.0,8519.0,334.0,162.0,299.0,218.0,2437.0,85806.33333333333,86071.33333333333,38625.666666666664,117005.33333333333,174106.66666666666,245936.33333333334,218595.33333333334,191836.0,297387.6666666667,133028.66666666666,201698.66666666666,193044.33333333334,274637.0,105817.66666666667,9434.666666666666,85601.33333333333,95930.66666666667,159027.33333333334,59235.333333333336,106026.0,100863.0,184302.66666666666,312727.3333333333,107883.0,51852.666666666664,194920.0,191356.66666666666,139991.33333333334,354331.6666666667,5332.333333333333,3215.6666666666665,4368.0,9687.666666666666,583.3333333333334,300.3333333333333,354.3333333333333,694.6666666666666,3007.0,78381.88888888889,78879.55555555556,37352.666666666664,114979.0,170022.88888888888,213854.33333333334,198488.44444444447,183078.0,287951.1111111111,140946.55555555553,192806.33333333334,192273.0,245445.22222222222,107966.33333333333,10044.444444444445,82639.11111111111,97657.55555555556,179325.77777777778,55853.222222222226,98447.55555555555,89982.88888888889,185572.88888888888,274867.7777777778,97963.7777777778,55393.44444444444,184547.22222222222,182161.55555555553,133612.88888888888,340894.7777777778,5344.222222222222,3461.444444444444,3857.1111111111113,9793.666666666666,741.3333333333334,327.0,550.0,690.7777777777777,3321.222222222222
81954.0,84514.0,31431.0,98987.0,135592.0,192631.0,199453.0,172920.0,236198.0,108139.0,205321.0,169978.0,244718.0,100841.0,9356.0,50801.0,69821.0,134566.0,56838.0,106913.0,81373.0,172673.0,314937.0,99013.0,47254.0,191245.0,203863.0,152045.0,349081.0,3600.0,2797.0,4039.0,8863.0,305.0,154.0,303.0,116.0,2700.0,84411.66666666667,84526.66666666667,34916.0,106775.0,156178.0,220767.0,209781.33333333334,182617.0,268043.6666666667,121124.33333333333,202227.33333333334,181395.33333333334,260383.0,102531.33333333333,9630.666666666666,72203.0,84866.33333333333,145012.0,57389.666666666664,105909.33333333333,94305.0,178234.0,313702.0,104230.0,49930.666666666664,194143.0,193839.66666666666,148115.0,351679.3333333333,4453.666666666667,3011.6666666666665,4237.666666666667,9285.0,411.6666666666667,223.66666666666666,329.0,358.0,2791.3333333333335,83682.11111111111,83250.22222222222,37508.444444444445,114489.33333333333,169447.77777777775,231127.33333333334,211070.66666666666,187944.66666666666,289818.7777777778,134730.88888888888,200112.33333333334,191436.8888888889,262953.0,106466.11111111111,9734.888888888889,81542.77777777777,94750.0,161215.77777777778,58405.444444444445,104303.88888888889,95964.33333333333,184824.22222222222,300994.0,104316.55555555555,53042.77777777778,192235.88888888888,191654.0,140557.11111111112,350278.22222222225,5148.0,3276.6666666666665,4162.88888888889,9695.555555555555,588.3333333333334,291.22222222222223,418.0,598.7777777777777,3074.0
83659.0,81807.0,32668.0,104824.0,139372.0,202263.0,212821.0,182993.0,243390.0,111304.0,210650.0,172528.0,256249.0,105469.0,9507.0,52891.0,72887.0,138522.0,58174.0,107683.0,84149.0,186861.0,324295.0,101790.0,50064.0,197675.0,211176.0,155086.0,353124.0,3764.0,2920.0,3858.0,9217.0,332.0,127.0,306.0,265.0,2655.0,80719.66666666667,83690.66666666667,31335.0,98533.33333333333,135966.0,192207.0,200473.0,173601.66666666666,232450.33333333334,103609.0,201570.33333333334,167271.33333333334,246843.66666666666,99494.66666666667,9440.333333333334,56511.666666666664,70544.66666666667,135781.0,53837.333333333336,103593.66666666667,85404.66666666667,173190.33333333334,316863.6666666667,99172.33333333333,47196.0,191649.0,198629.33333333334,152328.66666666666,349100.0,3624.6666666666665,2802.0,4046.0,8866.333333333334,323.6666666666667,147.66666666666666,302.6666666666667,199.66666666666666,2597.3333333333335,83645.88888888889,84762.88888888889,34958.88888888888,107437.88888888888,155416.88888888888,219636.77777777778,209616.5555555556,182684.88888888888,265960.55555555556,119254.0,201832.1111111111,180570.33333333334,260621.22222222222,102614.55555555556,9501.888888888889,71438.66666666667,83780.55555555556,146606.77777777778,56820.777777777774,105176.33333333333,93524.2222222222,178575.66666666666,314431.0,103761.77777777777,49659.77777777778,193570.66666666666,194608.55555555553,146811.66666666666,351703.6666666667,4470.222222222222,3009.777777777778,4217.222222222223,9279.666666666666,439.5555555555556,223.8888888888889,328.6666666666667,417.4444444444444,2798.555555555556
84393.0,82102.0,33887.0,111016.0,141347.0,212376.0,223717.0,194049.0,250112.0,115386.0,215184.0,176398.0,262408.0,106252.0,9802.0,54575.0,70448.0,138601.0,59518.0,110228.0,82197.0,201954.0,329272.0,104779.0,52858.0,200279.0,212776.0,190635.0,357422.0,3686.0,3076.0,3708.0,9592.0,379.0,145.0,306.0,223.0,2721.0,83335.33333333333,82807.66666666667,32662.0,104942.33333333333,138770.33333333334,202423.33333333334,211997.0,183320.66666666666,243233.33333333334,111609.66666666667,210385.0,172968.0,254458.33333333334,104187.33333333333,9555.0,52755.666666666664,71052.0,137229.66666666666,58176.666666666664,108274.66666666667,82573.0,187162.66666666666,322834.6666666667,101860.66666666667,50058.666666666664,196399.66666666666,209271.66666666666,165922.0,353209.0,3683.3333333333335,2931.0,3868.3333333333335,9224.0,338.6666666666667,142.0,305.0,201.33333333333334,2692.0,82822.22222222223,83675.00000000001,32971.0,103416.88888888888,143638.11111111112,205132.44444444447,207417.1111111111,179846.4444444444,247909.11111111112,112114.33333333333,204727.5555555556,173878.22222222222,253895.0,102071.11111111111,9542.0,60490.1111111111,75487.66666666667,139340.88888888888,56467.88888888888,105925.88888888889,87427.55555555555,179529.0,317800.1111111112,101754.33333333333,49061.777777777774,194063.8888888889,200580.22222222225,155455.22222222222,351329.44444444444,3920.555555555556,2914.8888888888887,4050.6666666666665,9125.111111111111,358.0,171.1111111111111,312.22222222222223,253.0,2693.555555555556
86611.0,81823.0,34515.0,114556.0,148414.0,223216.0,234481.0,203044.0,253113.0,116274.0,219013.0,171865.0,266884.0,112328.0,11693.0,55141.0,66926.0,138929.0,60881.0,117599.0,79437.0,218131.0,334143.0,107629.0,54446.0,206946.0,215020.0,192455.0,361127.0,4377.0,3180.0,3756.0,9983.0,428.0,138.0,297.0,129.0,2685.0,84887.66666666667,81910.66666666667,33690.0,110132.0,143044.33333333334,212618.33333333334,223673.0,193362.0,248871.66666666666,114321.33333333333,214949.0,173597.0,261847.0,108016.33333333333,10334.0,54202.333333333336,70087.0,138684.0,59524.333333333336,111836.66666666667,81927.66666666667,202315.33333333334,329236.6666666667,104732.66666666667,52456.0,201633.33333333334,212990.66666666666,179392.0,357224.3333333333,3942.3333333333335,3058.6666666666665,3774.0,9597.333333333334,379.6666666666667,136.66666666666666,303.0,205.66666666666666,2687.0,82980.88888888889,82803.0,32562.333333333332,104535.88888888888,139260.22222222225,202416.22222222225,212047.66666666666,183428.1111111111,241518.44444444447,109846.66666666667,208968.1111111111,171278.77777777778,254383.0,103899.44444444445,9776.444444444445,54489.88888888888,70561.22222222223,137231.55555555553,57179.444444444445,107901.66666666667,83301.77777777777,187556.11111111112,322978.33333333343,101921.88888888889,49903.55555555556,196560.66666666666,206963.88888888888,165880.88888888888,353177.7777777778,3750.1111111111113,2930.555555555556,3896.1111111111113,9229.222222222223,347.3333333333333,142.11111111111111,303.5555555555556,202.2222222222222,2658.777777777778
88633.0,83248.0,35853.0,122652.0,156386.0,230020.0,234761.0,208242.0,258205.0,119834.0,224917.0,176311.0,275565.0,115768.0,12441.0,55329.0,69670.0,140024.0,62099.0,120677.0,81017.0,231120.0,339563.0,109757.0,57281.0,226897.0,215664.0,194283.0,367382.0,4382.0,3225.0,2389.0,10397.0,432.0,104.0,290.0,112.0,2590.0,86545.66666666667,82391.0,34751.666666666664,116074.66666666667,148715.66666666666,221870.66666666666,230986.33333333334,201778.33333333334,253810.0,117164.66666666667,219704.66666666666,174858.0,268285.6666666667,111449.33333333333,11312.0,55015.0,69014.66666666667,139184.66666666666,60832.666666666664,116168.0,80883.66666666667,217068.33333333334,334326.0,107388.33333333333,54861.666666666664,211374.0,214486.66666666666,192457.66666666666,361977.0,4148.333333333333,3160.3333333333335,3284.3333333333335,9990.666666666666,413.0,129.0,297.6666666666667,154.66666666666666,2665.3333333333335,84922.88888888889,82369.77777777777,33701.22222222222,110383.0,143510.11111111112,212304.11111111112,222218.77777777778,192820.33333333334,248638.33333333334,114365.22222222223,215012.88888888888,173807.66666666666,261530.33333333334,107884.33333333333,10400.333333333334,53991.0,70051.22222222222,138366.1111111111,59511.22222222222,112093.11111111112,81794.77777777778,202182.11111111112,328799.1111111112,104660.55555555556,52458.77777777778,203135.66666666666,212249.66666666666,179257.22222222222,357470.1111111112,3924.6666666666665,3050.0,3642.2222222222226,9604.0,377.11111111111114,135.88888888888889,301.8888888888889,187.22222222222226,2681.4444444444443
