Tahun,FT_KabPacitan,FT_KabPonorogo,FT_Trenggalek,FT_Tulungagung,FT_Blitar,FT_Kediri,FT_Malang,FT_Lumajang,FT_Jember,FT_Banyuwangi,FT_Bondowoso,FT_Situbondo,FT_Probolinggo,FT_Pasuruan,FT_Sidoarjo,FT_Mojokerto,FT_Jombang,FT_Nganjuk,FT_Madiun,FT_Magetan,FT_Ngawi,FT_Bojonegoro,FT_Tuban,FT_Lamongan,FT_Gresik,FT_Bangkalan,FT_Sampang,FT_Pamekasan,FT_Sumenep,FT_KediriKota,FT_BlitarKota,FT_MalangKota,FT_ProbolinggoKota,FT_PasuruanKota,FT_MojokertoKota,FT_MadiunKota,FT_Surabaya,FT_Batu
2018,84464.64000000001,84675.25999999998,29085.28,98101.62,117616.49999999997,190940.66000000003,221249.01999999996,185400.06000000003,204812.94000000006,86727.35999999999,218369.56000000003,153859.74,256892.53999999998,101682.76000000001,10170.2,35632.179999999986,48978.42000000001,111235.92000000001,56467.57999999999,113976.96000000002,75958.96000000002,194571.88000000006,352551.84,103698.59999999999,46954.380000000005,204234.64,221081.03999999995,195998.66000000003,360815.05999999994,2743.6400000000003,2633.78,3834.24,8960.899999999998,132.88000000000008,19.439999999999984,158.2,-148.68000000000004,2218.7
2019,87601.97999999998,82112.72000000003,32557.320000000014,113175.22,134474.96000000005,210047.64000000004,234502.74000000002,202139.1,231888.16000000003,107169.01999999997,228490.30000000002,165891.58000000005,266144.19999999995,112711.21999999999,11566.599999999999,37788.0,56297.999999999985,126591.65999999999,62288.28,120987.12,72468.52,223677.17999999996,348049.57999999996,106993.54000000004,54154.85999999999,217552.01999999996,227403.17999999996,205591.24,365263.04000000004,3484.3800000000006,3006.0599999999995,2961.34,9880.579999999998,281.84,40.959999999999965,235.11999999999992,-80.77999999999997,2470.5199999999995
2020,90275.47999999998,81038.09999999999,35742.31999999999,126828.22,146222.1,227252.75999999998,245459.75999999998,216312.84000000003,251507.2799999999,119948.6,233157.39999999997,173201.68,276202.93999999994,118660.63999999998,13300.019999999997,44116.06,59302.88000000001,136518.03999999998,63974.880000000005,124213.33999999997,75898.05999999998,247460.40000000002,349751.26,111308.88,58792.81999999999,234666.33999999997,226373.74000000002,213216.98000000004,372052.17999999993,3773.0,3366.62,2429.4400000000005,10697.34,399.0199999999998,59.9,255.68000000000006,-8.819999999999965,2517.3799999999997
2021,92826.5,83114.34,38389.119999999995,139315.24,155291.28000000003,242625.58,253901.64,228936.80000000002,269421.28,129319.6,238934.88,178986.74000000002,300446.37999999995,121587.86,14933.060000000001,49215.100000000006,60485.30000000001,141128.26000000007,66070.04000000001,125786.71999999999,79702.18,265098.77999999997,355016.89999999997,116327.56,61463.81999999998,256082.22,223816.36,218492.82000000004,379823.49999999994,3980.420000000001,3747.7799999999997,2125.2600000000007,11284.22,477.47999999999996,76.70000000000003,233.20000000000002,-6.799999999999997,2544.0000000000005
2022,96669.65999999997,84854.98000000001,40078.360000000015,149412.44000000003,160796.68,248975.56,257565.31999999998,235871.38,280149.2,136655.37999999998,243352.41999999993,182148.7,319889.69999999995,123741.08000000002,16257.160000000003,50779.119999999995,65620.31999999999,144062.95999999996,67593.66,126175.12000000001,83604.8,276928.12,360087.3999999999,120302.56,62587.54000000001,280302.95999999996,221519.02,209555.40000000002,386898.14,4218.9400000000005,3987.74,2002.9199999999994,11630.219999999998,499.97999999999996,80.18,205.15999999999997,5.639999999999972,2519.0
