Tahun,FT_KabPacitan,FT_KabPonorogo,FT_Trenggalek,FT_Tulungagung,FT_Blitar,FT_Kediri,FT_Malang,FT_Lumajang,FT_Jember,FT_Banyuwangi,FT_Bondowoso,FT_Situbondo,FT_Probolinggo,FT_Pasuruan,FT_Sidoarjo,FT_Mojokerto,FT_Jombang,FT_Nganjuk,FT_Madiun,FT_Magetan,FT_Ngawi,FT_Bojonegoro,FT_Tuban,FT_Lamongan,FT_Gresik,FT_Bangkalan,FT_Sampang,FT_Pamekasan,FT_Sumenep,FT_KediriKota,FT_BlitarKota,FT_MalangKota,FT_ProbolinggoKota,FT_PasuruanKota,FT_MojokertoKota,FT_MadiunKota,FT_Surabaya,FT_Batu
2014,100655.2222222222,100454.88888888886,41171.66666666666,121057.99999999994,182274.22222222222,310100.3333333333,258809.111111111,209352.0,316260.7777777778,117192.8888888889,219483.33333333326,194586.99999999994,333020.5555555555,101520.33333333343,8215.111111111111,91525.77777777777,92476.88888888893,118430.44444444447,65999.55555555553,121182.88888888888,122623.22222222222,181762.22222222213,388446.4444444443,127721.44444444441,44771.111111111095,215665.5555555555,209746.88888888876,152748.22222222228,381205.44444444444,5308.555555555556,2724.1111111111118,5389.777777777777,9475.666666666666,267.33333333333337,246.99999999999994,-37.00000000000006,702.4444444444445,2378.5555555555557
2015,85870.7777777778,87079.55555555558,29731.11111111111,91346.33333333337,129638.4444444445,200046.33333333337,207202.6666666667,171961.66666666674,224493.44444444444,93911.22222222219,206457.3333333333,161312.22222222213,255243.0,94661.7777777777,9422.22222222222,53523.44444444447,65098.999999999985,112604.44444444444,55358.11111111108,109120.22222222219,90986.33333333337,165053.5555555555,339118.0,104056.88888888888,43706.44444444441,197957.22222222225,198210.99999999988,163230.77777777775,354481.55555555545,3065.000000000001,2481.6666666666665,4387.222222222222,8463.888888888887,58.333333333333314,88.55555555555543,151.0,-123.55555555555543,2225.999999999999
2016,74867.22222222223,81546.22222222223,24087.222222222234,80724.22222222219,97064.22222222225,137347.4444444445,182185.88888888882,155435.22222222222,165429.8888888887,72319.0,201046.77777777775,140673.3333333334,219288.5555555554,93254.88888888893,9317.222222222224,26657.666666666628,44072.88888888889,114129.44444444444,47870.44444444446,100428.33333333343,69165.5555555556,162419.66666666672,321729.00000000006,89993.44444444441,42268.44444444444,187805.66666666674,206670.88888888882,163362.66666666666,343892.6666666666,1933.555555555556,2386.4444444444443,3703.5555555555547,8039.66666666667,91.88888888888886,-4.777777777777857,250.66666666666669,-235.8888888888889,2194.888888888887
2017,84361.55555555552,81072.99999999999,32044.0,107993.22222222219,129034.77777777778,197005.111111111,221156.7777777778,190269.11111111107,233881.7777777777,110600.33333333343,221699.88888888882,171147.55555555556,255584.99999999994,108419.7777777777,9581.0,37286.77777777777,62180.66666666666,133007.22222222222,61594.222222222204,112972.2222222223,72863.8888888889,202429.99999999988,332903.7777777777,102073.33333333343,52052.44444444442,201071.22222222207,226654.5555555554,186855.55555555556,356968.1111111111,3208.8888888888882,2963.2222222222226,3503.6666666666674,9421.777777777777,300.00000000000006,83.77777777777783,290.55555555555554,97.99999999999994,2688.888888888888
2018,88701.22222222223,80126.00000000001,35945.33333333334,121324.22222222225,150612.55555555553,233022.55555555545,246923.66666666674,213229.7777777778,263578.11111111095,123270.66666666657,226910.7777777778,178233.44444444444,276775.0,116250.11111111107,11449.111111111113,53627.22222222224,69138.55555555553,141588.88888888893,64214.11111111112,119706.66666666669,79179.44444444448,231833.7777777777,341753.3333333332,110354.2222222223,57560.888888888876,211778.6666666667,225044.22222222213,206414.22222222225,365317.4444444443,4326.777777777777,3314.8888888888873,3529.7777777777774,10333.555555555553,444.3333333333334,125.77777777777774,301.8888888888888,212.5555555555555,2743.4444444444443
2019,89791.22222222223,82433.44444444447,36852.555555555555,127458.00000000006,159126.77777777772,241003.77777777764,248521.44444444444,219694.3333333333,264153.3333333334,122763.55555555559,229088.22222222213,176958.6666666667,281796.33333333343,118579.33333333331,13135.333333333332,57063.0,66941.55555555558,140821.77777777778,63475.55555555553,124317.77777777775,79061.44444444445,246840.7777777777,345379.77777777764,112843.88888888882,59667.44444444441,227850.66666666674,218960.66666666663,218858.55555555545,370990.77777777764,4595.666666666666,3380.999999999999,2568.555555555553,10763.999999999998,484.7777777777776,115.22222222222223,289.22222222222223,89.55555555555551,2633.1111111111104
2020,93053.44444444441,83405.7777777778,38125.66666666668,135047.55555555553,160132.0,243743.0,247190.22222222213,221874.55555555545,267700.99999999994,127666.33333333337,233189.22222222225,177070.6666666667,282966.1111111112,121583.44444444447,15059.555555555557,52312.66666666666,62586.22222222222,141517.33333333334,64553.11111111112,128233.33333333331,81147.44444444444,257012.2222222222,349331.88888888876,114925.2222222223,60129.55555555556,249879.55555555545,217814.2222222222,203926.88888888888,376968.4444444444,4275.555555555555,3532.2222222222213,2043.9999999999995,11164.444444444443,470.99999999999994,90.44444444444454,241.99999999999994,-17.77777777777783,2499.222222222221
2021,93848.55555555553,85212.66666666664,39289.66666666667,144327.22222222225,156740.88888888893,240543.6666666667,245214.6666666667,226224.5555555555,274539.77777777775,132905.7777777778,238961.7777777777,181661.22222222222,311560.4444444444,120328.44444444441,15776.333333333334,50187.111111111095,62383.22222222222,142832.22222222222,65646.11111111112,122622.44444444447,85819.77777777777,263068.9999999999,354245.6666666666,117077.66666666663,60843.55555555556,275443.8888888888,217263.33333333337,195852.3333333333,382864.11111111095,3661.9999999999995,3902.555555555555,1668.666666666667,11381.444444444443,461.1111111111112,66.2222222222222,202.8888888888888,-14.222222222222214,2453.5555555555547
2022,97015.11111111107,86269.33333333334,40098.66666666666,152256.66666666663,151835.8888888889,237159.77777777775,249536.99999999994,231397.88888888882,280162.77777777775,138962.5555555555,242332.2222222222,184093.22222222225,332432.7777777777,118637.44444444435,16032.333333333332,47994.55555555557,67623.66666666666,144472.0,66874.1111111111,118142.22222222219,88087.7777777778,268812.6666666667,359340.6666666666,120163.44444444447,60373.777777777774,293086.4444444444,217419.22222222213,194664.22222222213,388124.4444444445,3583.2222222222226,4161.8888888888905,2444.444444444444,11426.111111111111,461.5555555555556,86.11111111111114,171.22222222222206,46.11111111111113,2512.4444444444443
